selection_policy,budget_fraction,value_retention_mean,ci95_low,ci95_high,n_cells,candidate_updates_total,value_retention_per_cell_mean,value_definition
FirstLook,0.5,0.5378778737860999,0.4895517096403472,0.5885219387997214,52,2133,0.5378778737860999,next_use_all_policies
FirstLook,0.6,0.6766085747076651,0.6342396247063227,0.7211851011149287,52,2133,0.6766085747076651,next_use_all_policies
FirstLook,0.8,0.889599859973742,0.8651640366691977,0.9126002335507105,52,2133,0.889599859973742,next_use_all_policies
FirstLook,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
Freshness,0.1,0.13413005433537944,0.10624976473064285,0.1720968547694477,52,2133,0.13413005433537944,next_use_all_policies
Freshness,0.2,0.2477165821674383,0.2176755463864725,0.28086519933166115,52,2133,0.2477165821674383,next_use_all_policies
Freshness,0.3,0.3692739625907753,0.3372937211080213,0.4006634362812648,52,2133,0.3692739625907753,next_use_all_policies
Freshness,0.4,0.4805775294674574,0.44460026847522144,0.5159569225547829,52,2133,0.4805775294674574,next_use_all_policies
Freshness,0.5,0.6151372104548337,0.5793531989600352,0.6507753904876725,52,2133,0.6151372104548337,next_use_all_policies
Freshness,0.6,0.7434284853787716,0.7158554678141215,0.7719422040924382,52,2133,0.7434284853787716,next_use_all_policies
Freshness,0.8,0.9009273154724419,0.8856081246765184,0.9150184285521196,52,2133,0.9009273154724419,next_use_all_policies
Freshness,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
LearnedLogistic,0.1,0.054243996146755825,0.044069370725540256,0.06491441127943492,52,2133,0.054243996146755825,next_use_all_policies
LearnedLogistic,0.2,0.10456379083442607,0.09037293498594123,0.11949010213776787,52,2133,0.10456379083442607,next_use_all_policies
LearnedLogistic,0.3,0.21483349710855557,0.19345755021961358,0.23505339763980002,52,2133,0.21483349710855557,next_use_all_policies
LearnedLogistic,0.4,0.30891202608504725,0.282597322601977,0.33605220194454455,52,2133,0.30891202608504725,next_use_all_policies
LearnedLogistic,0.5,0.454341810826515,0.41650551025063726,0.4931609320920448,52,2133,0.454341810826515,next_use_all_policies
LearnedLogistic,0.6,0.6007723303970428,0.5687622800781486,0.6332217085571187,52,2133,0.6007723303970428,next_use_all_policies
